ENGINE,CHECKSUM,DATA_FREE,VERSION,CHECK_TIME,ROW_FORMAT,TABLE_ROWS,TABLE_TYPE,CREATE_TIME,DATA_LENGTH,UPDATE_TIME,INDEX_LENGTH,TABLE_SCHEMA,TABLE_NAME,TABLE_CATALOG,TABLE_COMMENT,AUTO_INCREMENT,AVG_ROW_LENGTH,CREATE_OPTIONS,MAX_DATA_LENGTH,TABLE_COLLATION
MyISAM,NULL,0,10,NULL,Dynamic,NULL,SYSTEM VIEW,2020-09-14 17:25:53,0,2020-09-14 17:25:53,1024,information_schema,PARAMETERS,def,<blank>,NULL,0,max_rows=6021,281474976710655,utf8_general_ci
MyISAM,NULL,0,10,NULL,Dynamic,NULL,SYSTEM VIEW,2020-09-14 17:25:53,0,2020-09-14 17:25:53,1024,information_schema,PARTITIONS,def,<blank>,NULL,0,max_rows=5596,281474976710655,utf8_general_ci
MyISAM,NULL,0,10,NULL,Dynamic,NULL,SYSTEM VIEW,2020-09-14 17:25:53,0,2020-09-14 17:25:53,1024,information_schema,PLUGINS,def,<blank>,NULL,0,max_rows=11328,281474976710655,utf8_general_ci
MyISAM,NULL,0,10,NULL,Dynamic,NULL,SYSTEM VIEW,2020-09-14 17:25:53,0,2020-09-14 17:25:53,1024,information_schema,PROCESSLIST,def,<blank>,NULL,0,max_rows=23899,281474976710655,utf8_general_ci
MEMORY,NULL,0,10,NULL,Fixed,NULL,SYSTEM VIEW,2020-09-14 17:25:53,0,NULL,0,information_schema,PROFILING,def,<blank>,NULL,308,max_rows=54471,16562084,utf8_general_ci
MEMORY,NULL,0,10,NULL,Fixed,NULL,SYSTEM VIEW,2020-09-14 17:25:53,0,NULL,0,information_schema,REFERENTIAL_CONSTRAINTS,def,<blank>,NULL,4814,max_rows=3485,16767162,utf8_general_ci
MyISAM,NULL,0,10,NULL,Dynamic,NULL,SYSTEM VIEW,2020-09-14 17:25:53,0,2020-09-14 17:25:53,1024,information_schema,ROUTINES,def,<blank>,NULL,0,max_rows=583,281474976710655,utf8_general_ci
MEMORY,NULL,0,10,NULL,Fixed,NULL,SYSTEM VIEW,2020-09-14 17:25:53,0,NULL,0,information_schema,SCHEMATA,def,<blank>,NULL,3464,max_rows=4843,16738048,utf8_general_ci
MEMORY,NULL,0,10,NULL,Fixed,NULL,SYSTEM VIEW,2020-09-14 17:25:53,0,NULL,0,information_schema,SCHEMA_PRIVILEGES,def,<blank>,NULL,2179,max_rows=7699,16736899,utf8_general_ci
MEMORY,NULL,0,10,NULL,Fixed,NULL,SYSTEM VIEW,2020-09-14 17:25:53,0,NULL,0,information_schema,SESSION_STATUS,def,<blank>,NULL,3268,max_rows=5133,16755036,utf8_general_ci
MEMORY,NULL,0,10,NULL,Fixed,NULL,SYSTEM VIEW,2020-09-14 17:25:53,0,NULL,0,information_schema,SESSION_VARIABLES,def,<blank>,NULL,3268,max_rows=5133,16755036,utf8_general_ci
MEMORY,NULL,0,10,NULL,Fixed,NULL,SYSTEM VIEW,2020-09-14 17:25:53,0,NULL,0,information_schema,STATISTICS,def,<blank>,NULL,5753,max_rows=2916,16752736,utf8_general_ci
MEMORY,NULL,0,10,NULL,Fixed,NULL,SYSTEM VIEW,2020-09-14 17:25:53,0,NULL,0,information_schema,TABLES,def,<blank>,NULL,9441,max_rows=1777,16757775,utf8_general_ci
MEMORY,NULL,0,10,NULL,Fixed,NULL,SYSTEM VIEW,2020-09-14 17:25:53,0,NULL,0,information_schema,TABLESPACES,def,<blank>,NULL,6951,max_rows=2413,16772763,utf8_general_ci
MEMORY,NULL,0,10,NULL,Fixed,NULL,SYSTEM VIEW,2020-09-14 17:25:53,0,NULL,0,information_schema,TABLE_CONSTRAINTS,def,<blank>,NULL,2504,max_rows=6700,16721712,utf8_general_ci
MEMORY,NULL,0,10,NULL,Fixed,NULL,SYSTEM VIEW,2020-09-14 17:25:53,0,NULL,0,information_schema,TABLE_PRIVILEGES,def,<blank>,NULL,2372,max_rows=7073,16748692,utf8_general_ci
MyISAM,NULL,0,10,NULL,Dynamic,NULL,SYSTEM VIEW,2020-09-14 17:25:53,0,2020-09-14 17:25:53,1024,information_schema,TRIGGERS,def,<blank>,NULL,0,max_rows=569,281474976710655,utf8_general_ci
MEMORY,NULL,0,10,NULL,Fixed,NULL,SYSTEM VIEW,2020-09-14 17:25:53,0,NULL,0,information_schema,USER_PRIVILEGES,def,<blank>,NULL,1986,max_rows=8447,16726092,utf8_general_ci
MyISAM,NULL,0,10,NULL,Dynamic,NULL,SYSTEM VIEW,2020-09-14 17:25:53,0,2020-09-14 17:25:53,1024,information_schema,VIEWS,def,<blank>,NULL,0,max_rows=6935,281474976710655,utf8_general_ci
MEMORY,NULL,0,10,NULL,Fixed,NULL,SYSTEM VIEW,2020-09-14 17:25:53,0,NULL,0,information_schema,INNODB_LOCKS,def,<blank>,NULL,31244,max_rows=536,16746784,utf8_general_ci
MEMORY,NULL,0,10,NULL,Fixed,NULL,SYSTEM VIEW,2020-09-14 17:25:53,0,NULL,0,information_schema,INNODB_TRX,def,<blank>,NULL,4536,max_rows=3698,16746912,utf8_general_ci
MEMORY,NULL,0,10,NULL,Fixed,NULL,SYSTEM VIEW,2020-09-14 17:25:53,0,NULL,0,information_schema,INNODB_SYS_DATAFILES,def,<blank>,NULL,12007,max_rows=1397,16773779,utf8_general_ci
MEMORY,NULL,0,10,NULL,Fixed,NULL,SYSTEM VIEW,2020-09-14 17:25:53,0,NULL,0,information_schema,INNODB_LOCK_WAITS,def,<blank>,NULL,599,max_rows=28008,16749238,utf8_general_ci
MEMORY,NULL,0,10,NULL,Fixed,NULL,SYSTEM VIEW,2020-09-14 17:25:53,0,NULL,0,information_schema,INNODB_SYS_TABLESTATS,def,<blank>,NULL,1215,max_rows=13808,16763355,utf8_general_ci
MEMORY,NULL,0,10,NULL,Fixed,NULL,SYSTEM VIEW,2020-09-14 17:25:53,0,NULL,0,information_schema,INNODB_CMP,def,<blank>,NULL,25,max_rows=671088,13107200,utf8_general_ci
MEMORY,NULL,0,10,NULL,Fixed,NULL,SYSTEM VIEW,2020-09-14 17:25:53,0,NULL,0,information_schema,INNODB_METRICS,def,<blank>,NULL,2994,max_rows=5603,16742448,utf8_general_ci
MEMORY,NULL,0,10,NULL,Fixed,NULL,SYSTEM VIEW,2020-09-14 17:25:53,0,NULL,0,information_schema,INNODB_CMP_RESET,def,<blank>,NULL,25,max_rows=671088,13107200,utf8_general_ci
MEMORY,NULL,0,10,NULL,Fixed,NULL,SYSTEM VIEW,2020-09-14 17:25:53,0,NULL,0,information_schema,INNODB_CMP_PER_INDEX,def,<blank>,NULL,1755,max_rows=9559,16728660,utf8_general_ci
MEMORY,NULL,0,10,NULL,Fixed,NULL,SYSTEM VIEW,2020-09-14 17:25:53,0,NULL,0,information_schema,INNODB_CMPMEM_RESET,def,<blank>,NULL,29,max_rows=578524,15204352,utf8_general_ci
MEMORY,NULL,0,10,NULL,Fixed,NULL,SYSTEM VIEW,2020-09-14 17:25:53,0,NULL,0,information_schema,INNODB_FT_DELETED,def,<blank>,NULL,9,max_rows=1864135,9437184,utf8_general_ci
MEMORY,NULL,0,10,NULL,Fixed,NULL,SYSTEM VIEW,2020-09-14 17:25:53,0,NULL,0,information_schema,INNODB_BUFFER_PAGE_LRU,def,<blank>,NULL,6669,max_rows=2515,16765866,utf8_general_ci
MEMORY,NULL,0,10,NULL,Fixed,NULL,SYSTEM VIEW,2020-09-14 17:25:53,0,NULL,0,information_schema,INNODB_SYS_FOREIGN,def,<blank>,NULL,1752,max_rows=9576,16700064,utf8_general_ci
MEMORY,NULL,0,10,NULL,Fixed,NULL,SYSTEM VIEW,2020-09-14 17:25:53,0,NULL,0,information_schema,INNODB_SYS_COLUMNS,def,<blank>,NULL,610,max_rows=27503,16613350,utf8_general_ci
MEMORY,NULL,0,10,NULL,Fixed,NULL,SYSTEM VIEW,2020-09-14 17:25:53,0,NULL,0,information_schema,INNODB_SYS_INDEXES,def,<blank>,NULL,614,max_rows=27324,16722290,utf8_general_ci
MEMORY,NULL,0,10,NULL,Fixed,NULL,SYSTEM VIEW,2020-09-14 17:25:53,0,NULL,0,information_schema,INNODB_FT_DEFAULT_STOPWORD,def,<blank>,NULL,56,max_rows=299593,14680064,utf8_general_ci
MEMORY,NULL,0,10,NULL,Fixed,NULL,SYSTEM VIEW,2020-09-14 17:25:53,0,NULL,0,information_schema,INNODB_SYS_FIELDS,def,<blank>,NULL,594,max_rows=28244,16609428,utf8_general_ci
MEMORY,NULL,0,10,NULL,Fixed,NULL,SYSTEM VIEW,2020-09-14 17:25:53,0,NULL,0,information_schema,INNODB_CMP_PER_INDEX_RESET,def,<blank>,NULL,1755,max_rows=9559,16728660,utf8_general_ci
MEMORY,NULL,0,10,NULL,Fixed,NULL,SYSTEM VIEW,2020-09-14 17:25:53,0,NULL,0,information_schema,INNODB_BUFFER_PAGE,def,<blank>,NULL,6852,max_rows=2448,16766844,utf8_general_ci
MEMORY,NULL,0,10,NULL,Fixed,NULL,SYSTEM VIEW,2020-09-14 17:25:53,0,NULL,0,information_schema,INNODB_CMPMEM,def,<blank>,NULL,29,max_rows=578524,15204352,utf8_general_ci
MEMORY,NULL,0,10,NULL,Fixed,NULL,SYSTEM VIEW,2020-09-14 17:25:53,0,NULL,0,information_schema,INNODB_FT_INDEX_TABLE,def,<blank>,NULL,1054,max_rows=15917,16744898,utf8_general_ci
MEMORY,NULL,0,10,NULL,Fixed,NULL,SYSTEM VIEW,2020-09-14 17:25:53,0,NULL,0,information_schema,INNODB_FT_BEING_DELETED,def,<blank>,NULL,9,max_rows=1864135,9437184,utf8_general_ci
MEMORY,NULL,0,10,NULL,Fixed,NULL,SYSTEM VIEW,2020-09-14 17:25:53,0,NULL,0,information_schema,INNODB_SYS_TABLESPACES,def,<blank>,NULL,2082,max_rows=8058,16728870,utf8_general_ci
MEMORY,NULL,0,10,NULL,Fixed,NULL,SYSTEM VIEW,2020-09-14 17:25:53,0,NULL,0,information_schema,INNODB_FT_INDEX_CACHE,def,<blank>,NULL,1054,max_rows=15917,16744898,utf8_general_ci
MEMORY,NULL,0,10,NULL,Fixed,NULL,SYSTEM VIEW,2020-09-14 17:25:53,0,NULL,0,information_schema,INNODB_SYS_FOREIGN_COLS,def,<blank>,NULL,1748,max_rows=9597,16738848,utf8_general_ci
MEMORY,NULL,0,10,NULL,Fixed,NULL,SYSTEM VIEW,2020-09-14 17:25:53,0,NULL,0,information_schema,INNODB_SYS_TABLES,def,<blank>,NULL,2060,max_rows=8144,16743680,utf8_general_ci
MEMORY,NULL,0,10,NULL,Fixed,NULL,SYSTEM VIEW,2020-09-14 17:25:53,0,NULL,0,information_schema,INNODB_BUFFER_POOL_STATS,def,<blank>,NULL,257,max_rows=65280,16332350,utf8_general_ci
MEMORY,NULL,0,10,NULL,Fixed,NULL,SYSTEM VIEW,2020-09-14 17:25:53,0,NULL,0,information_schema,INNODB_FT_CONFIG,def,<blank>,NULL,1163,max_rows=14425,16705332,utf8_general_ci
InnoDB,NULL,0,10,NULL,Compact,0,BASE TABLE,2018-07-24 08:53:00,16384,NULL,32768,paintmag_production,accesslog,def,Stores site access information for statistics.,1,0,<blank>,0,utf8_general_ci
InnoDB,NULL,0,10,NULL,Compact,20,BASE TABLE,2018-07-24 08:53:00,16384,NULL,0,paintmag_production,actions,def,Stores action information.,NULL,819,<blank>,0,utf8_general_ci
InnoDB,NULL,0,10,NULL,Compact,3,BASE TABLE,2018-07-24 08:53:00,16384,NULL,0,paintmag_production,admin_paint_contest,def,<blank>,5,5461,<blank>,0,latin1_swedish_ci
InnoDB,NULL,0,10,NULL,Compact,3,BASE TABLE,2018-07-24 08:53:00,16384,NULL,0,paintmag_production,admin_paint_contest_image,def,<blank>,15,5461,<blank>,0,latin1_swedish_ci
InnoDB,NULL,0,10,NULL,Compact,0,BASE TABLE,2018-07-24 08:53:00,16384,NULL,16384,paintmag_production,authmap,def,Stores distributed authentication mapping.,1,0,<blank>,0,utf8_general_ci
InnoDB,NULL,0,10,NULL,Compact,1,BASE TABLE,2018-07-24 08:53:01,16384,NULL,16384,paintmag_production,batch,def,Stores details about batches (processes that run in...,NULL,16384,<blank>,0,utf8_general_ci
InnoDB,NULL,0,10,NULL,Compact,201,BASE TABLE,2018-07-24 08:53:01,16384,NULL,32768,paintmag_production,block,def,"Stores block settings, such as region and visibility...",217,81,<blank>,0,utf8_general_ci
InnoDB,NULL,0,10,NULL,Compact,29,BASE TABLE,2018-07-24 08:53:01,98304,NULL,16384,paintmag_production,block_custom,def,Stores contents of custom-made blocks.,34,3389,<blank>,0,utf8_general_ci
InnoDB,NULL,0,10,NULL,Compact,3,BASE TABLE,2018-07-24 08:53:01,16384,NULL,16384,paintmag_production,block_node_type,def,Sets up display criteria for blocks based on content types,NULL,5461,<blank>,0,utf8_general_ci
InnoDB,NULL,0,10,NULL,Compact,0,BASE TABLE,2018-07-24 08:53:01,16384,NULL,16384,paintmag_production,block_role,def,Sets up access permissions for blocks based on user roles,NULL,0,<blank>,0,utf8_general_ci
InnoDB,NULL,0,10,NULL,Compact,0,BASE TABLE,2018-07-24 08:53:01,16384,NULL,16384,paintmag_production,blocked_ips,def,Stores blocked IP addresses.,1,0,<blank>,0,utf8_general_ci
InnoDB,NULL,4194304,10,NULL,Compact,17,BASE TABLE,2018-07-24 08:53:01,1572864,NULL,16384,paintmag_production,cache,def,Generic cache table for caching things not separated out...,NULL,92521,<blank>,0,utf8_general_ci
InnoDB,NULL,0,10,NULL,Compact,0,BASE TABLE,2018-07-24 08:53:01,16384,NULL,16384,paintmag_production,cache_block,def,Cache table for the Block module to store already built...,NULL,0,<blank>,0,utf8_general_ci
InnoDB,NULL,0,10,NULL,Compact,6,BASE TABLE,2018-07-24 08:53:01,278528,NULL,16384,paintmag_production,cache_bootstrap,def,"Cache table for data required to bootstrap Drupal, may be...",NULL,46421,<blank>,0,utf8_general_ci
InnoDB,NULL,4194304,10,NULL,Compact,2384,BASE TABLE,2018-07-24 08:53:01,17317888,NULL,131072,paintmag_production,cache_field,def,Generic cache table for caching things not separated out...,NULL,7264,<blank>,0,utf8_general_ci
InnoDB,NULL,0,10,NULL,Compact,52,BASE TABLE,2018-07-24 08:53:03,65536,NULL,16384,paintmag_production,cache_filter,def,Cache table for the Filter module to store already...,NULL,1260,<blank>,0,utf8_general_ci
InnoDB,NULL,4194304,10,NULL,Compact,4146,BASE TABLE,2018-07-24 08:53:03,1076445184,NULL,1589248,paintmag_production,cache_form,def,Cache table for the form system to store recently built...,NULL,259634,<blank>,0,utf8_general_ci
InnoDB,NULL,0,10,NULL,Compact,0,BASE TABLE,2018-07-24 08:53:36,16384,NULL,16384,paintmag_production,cache_image,def,Cache table used to store information about image...,NULL,0,<blank>,0,utf8_general_ci
InnoDB,NULL,0,10,NULL,Compact,0,BASE TABLE,2018-07-24 08:53:36,16384,NULL,16384,paintmag_production,cache_libraries,def,Cache table to store library information.,NULL,0,<blank>,0,utf8_general_ci
InnoDB,NULL,0,10,NULL,Compact,0,BASE TABLE,2018-07-24 08:53:36,16384,NULL,16384,paintmag_production,cache_media_xml,def,Cache table for the the results of retreived XML...,NULL,0,<blank>,0,utf8_general_ci
InnoDB,NULL,6291456,10,NULL,Compact,1392,BASE TABLE,2018-07-24 08:53:36,3686400,NULL,147456,paintmag_production,cache_menu,def,Cache table for the menu system to store router...,NULL,2648,<blank>,0,utf8_general_ci
InnoDB,NULL,0,10,NULL,Compact,0,BASE TABLE,2018-07-24 08:53:36,16384,NULL,16384,paintmag_production,cache_page,def,Cache table used to store compressed pages for anonymous...,NULL,0,<blank>,0,utf8_general_ci
InnoDB,NULL,4194304,10,NULL,Compact,2715,BASE TABLE,2018-07-24 08:53:36,8929280,NULL,114688,paintmag_production,cache_path,def,Cache table for path alias lookup.,NULL,3288,<blank>,0,utf8_general_ci
InnoDB,NULL,0,10,NULL,Compact,2,BASE TABLE,2018-07-24 08:53:37,65536,NULL,16384,paintmag_production,cache_token,def,Cache table for token information.,NULL,32768,<blank>,0,utf8_general_ci
InnoDB,NULL,5242880,10,NULL,Compact,41,BASE TABLE,2018-07-24 08:53:37,49152,NULL,16384,paintmag_production,cache_update,def,Cache table for the Update module to store information...,NULL,1198,<blank>,0,utf8_general_ci
InnoDB,NULL,4194304,10,NULL,Compact,37,BASE TABLE,2018-07-24 08:53:37,1589248,NULL,16384,paintmag_production,cache_views,def,Generic cache table for caching things not separated out...,NULL,42952,<blank>,0,utf8_general_ci
InnoDB,NULL,0,10,NULL,Compact,0,BASE TABLE,2018-07-24 08:53:37,16384,NULL,16384,paintmag_production,cache_views_data,def,"Cache table for views to store pre-rendered queries,...",NULL,0,<blank>,0,utf8_general_ci
InnoDB,NULL,0,10,NULL,Compact,2,BASE TABLE,2018-07-24 08:53:37,16384,NULL,0,paintmag_production,ckeditor_input_format,def,Stores CKEditor input format assignments,NULL,8192,<blank>,0,utf8_general_ci
InnoDB,NULL,0,10,NULL,Compact,3,BASE TABLE,2018-07-24 08:53:37,16384,NULL,0,paintmag_production,ckeditor_settings,def,Stores CKEditor profile settings,NULL,5461,<blank>,0,utf8_general_ci
InnoDB,NULL,0,10,NULL,Compact,0,BASE TABLE,2018-07-24 08:53:37,16384,NULL,81920,paintmag_production,comment,def,Stores comments and associated data.,1,0,<blank>,0,utf8_general_ci
InnoDB,NULL,0,10,NULL,Compact,0,BASE TABLE,2018-07-24 08:53:37,16384,NULL,0,paintmag_production,ctools_css_cache,def,A special cache used to store CSS that must be non-volatile.,NULL,0,<blank>,0,utf8_general_ci
InnoDB,NULL,0,10,NULL,Compact,0,BASE TABLE,2018-07-24 08:53:37,16384,NULL,16384,paintmag_production,ctools_object_cache,def,A special cache used to store objects that are being...,NULL,0,<blank>,0,utf8_general_ci
InnoDB,NULL,0,10,NULL,Compact,0,BASE TABLE,2018-07-24 08:53:37,16384,NULL,0,paintmag_production,custom_buyers_guide_form,def,<blank>,12,0,<blank>,0,utf8_general_ci
InnoDB,NULL,0,10,NULL,Compact,17,BASE TABLE,2019-04-24 06:24:49,16384,NULL,0,paintmag_production,custom_contractor_video_contest,def,<blank>,33,963,<blank>,0,utf8_general_ci
InnoDB,NULL,0,10,NULL,Compact,88,BASE TABLE,2019-02-25 11:27:47,81920,NULL,0,paintmag_production,custom_cron_rss_feed,def,<blank>,NULL,930,<blank>,0,latin1_swedish_ci
InnoDB,NULL,4194304,10,NULL,Compact,3171,BASE TABLE,2018-10-01 09:43:22,21544960,NULL,0,paintmag_production,custom_entry_multipub,def,<blank>,5298,6794,<blank>,0,latin1_swedish_ci
InnoDB,NULL,0,10,NULL,Compact,2,BASE TABLE,2018-07-24 08:53:37,16384,NULL,0,paintmag_production,custom_job_weekcontest,def,<blank>,27,8192,<blank>,0,utf8_general_ci
InnoDB,NULL,4194304,10,NULL,Compact,4283,BASE TABLE,2020-06-02 08:48:42,2637824,NULL,0,paintmag_production,custom_magazine_subscriber,def,<blank>,5282,615,<blank>,0,utf8_general_ci
InnoDB,NULL,0,10,NULL,Compact,1,BASE TABLE,2018-10-01 06:25:03,16384,NULL,0,paintmag_production,custom_magazine_subscriber_emailmessage,def,<blank>,2,16384,<blank>,0,utf8_general_ci
InnoDB,NULL,0,10,NULL,Compact,267,BASE TABLE,2019-07-03 08:50:20,163840,NULL,0,paintmag_production,custom_newsletter,def,<blank>,354,613,<blank>,0,utf8_general_ci
InnoDB,NULL,0,10,NULL,Compact,9,BASE TABLE,2018-07-24 08:53:38,16384,NULL,0,paintmag_production,custom_newsletter_copy,def,<blank>,14,1820,<blank>,0,utf8_general_ci
InnoDB,NULL,4194304,10,NULL,Compact,2502,BASE TABLE,2019-04-22 05:35:32,1589248,NULL,0,paintmag_production,custom_newsletter_details,def,<blank>,3519,635,<blank>,0,utf8_general_ci
InnoDB,NULL,0,10,NULL,Compact,83,BASE TABLE,2018-07-24 08:53:39,65536,NULL,0,paintmag_production,custom_newsletter_details_copy,def,<blank>,124,789,<blank>,0,utf8_general_ci
InnoDB,NULL,0,10,NULL,Compact,27,BASE TABLE,2018-07-24 08:53:40,16384,NULL,0,paintmag_production,custom_survey_dispose,def,<blank>,54,606,<blank>,0,utf8_general_ci
InnoDB,NULL,0,10,NULL,Compact,20,BASE TABLE,2018-11-13 06:31:07,16384,NULL,0,paintmag_production,custom_survey_evaluation_report,def,<blank>,71,819,<blank>,0,utf8_general_ci
InnoDB,NULL,0,10,NULL,Compact,44,BASE TABLE,2018-11-13 06:30:11,65536,NULL,0,paintmag_production,custom_survey_evaluation_report_bk_13NOv18,def,<blank>,71,1489,<blank>,0,latin1_swedish_ci
InnoDB,NULL,0,10,NULL,Compact,236,BASE TABLE,2018-07-24 08:53:40,65536,NULL,0,paintmag_production,custom_survey_form,def,<blank>,237,277,<blank>,0,utf8_general_ci
InnoDB,NULL,0,10,NULL,Compact,29,BASE TABLE,2018-07-24 08:53:40,16384,NULL,0,paintmag_production,custom_survey_paintwood,def,<blank>,32,564,<blank>,0,utf8_general_ci
InnoDB,NULL,0,10,NULL,Compact,54,BASE TABLE,2018-07-24 08:53:40,16384,NULL,0,paintmag_production,custom_survey_pressure_washer,def,<blank>,95,303,<blank>,0,utf8_general_ci
InnoDB,NULL,0,10,NULL,Compact,12,BASE TABLE,2018-07-24 08:53:40,16384,NULL,0,paintmag_production,custom_survey_proclub,def,<blank>,14,1365,<blank>,0,utf8_general_ci
InnoDB,NULL,0,10,NULL,Compact,625,BASE TABLE,2020-07-10 05:21:42,278528,NULL,0,paintmag_production,custom_survey_proclub_10July2020,def,<blank>,629,445,<blank>,0,utf8_general_ci
InnoDB,NULL,0,10,NULL,Compact,26,BASE TABLE,2018-10-22 05:33:55,16384,NULL,0,paintmag_production,custom_survey_shurtech_tap_survey,def,<blank>,171,630,<blank>,0,utf8_general_ci
InnoDB,NULL,0,10,NULL,Compact,8,BASE TABLE,2018-07-24 08:53:40,16384,NULL,0,paintmag_production,custom_survey_wantpaintnews,def,<blank>,18,2048,<blank>,0,utf8_general_ci
InnoDB,NULL,0,10,NULL,Compact,0,BASE TABLE,2018-07-24 08:53:40,16384,NULL,0,paintmag_production,date_format_locale,def,Stores configured date formats for each locale.,NULL,0,<blank>,0,utf8_general_ci
InnoDB,NULL,0,10,NULL,Compact,4,BASE TABLE,2018-07-24 08:53:40,16384,NULL,16384,paintmag_production,date_format_type,def,Stores configured date format types.,NULL,4096,<blank>,0,utf8_general_ci
InnoDB,NULL,0,10,NULL,Compact,35,BASE TABLE,2018-07-24 08:53:40,16384,NULL,16384,paintmag_production,date_formats,def,Stores configured date formats.,36,468,<blank>,0,utf8_general_ci
InnoDB,NULL,0,10,NULL,Compact,13,BASE TABLE,2018-07-24 08:53:40,16384,NULL,0,paintmag_production,elysia_cron,def,<blank>,NULL,1260,<blank>,0,utf8_general_ci
InnoDB,NULL,0,10,NULL,Compact,57,BASE TABLE,2018-07-24 08:53:40,98304,NULL,131072,paintmag_production,field_config,def,<blank>,88,1724,<blank>,0,utf8_general_ci
InnoDB,NULL,0,10,NULL,Compact,73,BASE TABLE,2018-07-24 08:53:41,81920,NULL,32768,paintmag_production,field_config_instance,def,<blank>,110,1122,<blank>,0,utf8_general_ci
InnoDB,NULL,4194304,10,NULL,Compact,724,BASE TABLE,2018-07-24 08:53:41,7880704,NULL,458752,paintmag_production,field_data_body,def,Data storage for field 2 (body),NULL,10884,<blank>,0,utf8_general_ci
InnoDB,NULL,0,10,NULL,Compact,0,BASE TABLE,2018-07-24 08:53:42,16384,NULL,114688,paintmag_production,field_data_comment_body,def,Data storage for field 1 (comment_body),NULL,0,<blank>,0,utf8_general_ci
InnoDB,NULL,0,10,NULL,Compact,58,BASE TABLE,2018-07-24 08:53:42,16384,NULL,114688,paintmag_production,field_data_field_archive_image,def,Data storage for field 41 (field_archive_image),NULL,282,<blank>,0,utf8_general_ci
InnoDB,NULL,0,10,NULL,Compact,58,BASE TABLE,2018-07-24 08:53:42,16384,NULL,98304,paintmag_production,field_data_field_archive_issue_date,def,Data storage for field 40 (field_archive_issue_date),NULL,282,<blank>,0,utf8_general_ci
InnoDB,NULL,0,10,NULL,Compact,58,BASE TABLE,2018-07-24 08:53:42,16384,NULL,114688,paintmag_production,field_data_field_archive_link,def,Data storage for field 42 (field_archive_link),NULL,282,<blank>,0,utf8_general_ci
InnoDB,NULL,0,10,NULL,Compact,0,BASE TABLE,2018-07-24 08:53:42,16384,NULL,114688,paintmag_production,field_data_field_article_category_,def,Data storage for field 20 (field_article_category_),NULL,0,<blank>,0,utf8_general_ci
